clip_key,yolo_n_keyframes,yolo_n_detections,yolo_traffic_light_present,yolo_bus_present,yolo_car_present,yolo_person_present,yolo_stop_sign_present,yolo_bicycle_present,yolo_truck_present,yolo_car_max_conf,yolo_person_max_conf,yolo_truck_max_conf,yolo_traffic_light_max_conf,yolo_stop_sign_max_conf,yolo_bus_max_conf,yolo_bicycle_max_conf
ACURA_MDX_3G_MMR/ad9840558640c31d/00000005--21492f83d2/2,5,4,False,False,True,False,False,False,False,0.7988,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000005--21492f83d2/6,5,4,False,False,True,True,True,False,False,0.7635,0.4097,,,0.692,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000005--1f77ad20f1/7,5,6,False,False,True,False,False,False,False,0.8651,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000005--21492f83d2/5,5,11,False,False,True,False,False,False,True,0.7599,,0.463,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000005--1f77ad20f1/8,5,22,True,False,True,False,False,False,True,0.7545,,0.6962,0.7127,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000006--6c7475b560/0,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000005--c027cb8b68/0,5,10,True,False,True,False,False,False,False,0.7226,,,0.5543,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000006--6c7475b560/1,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000006--6c7475b560/2,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000005--c027cb8b68/1,5,6,False,False,True,False,False,False,False,0.7228,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000006--6c7475b560/5,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000006--902339b61e/1,5,3,False,False,True,True,False,False,False,0.6881,0.4916,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000007--a54a7cfb87/0,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000006--6c7475b560/4,5,2,False,False,True,False,False,False,False,0.4921,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000007--a54a7cfb87/10,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000006--6c7475b560/3,5,1,False,False,True,False,False,False,False,0.468,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000007--234c71f3c5/1,5,12,False,False,True,False,False,False,True,0.8345,,0.9477,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000007--a54a7cfb87/11,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000006--902339b61e/0,5,9,False,False,True,False,False,False,False,0.8952,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000007--a54a7cfb87/12,5,1,True,False,False,False,False,False,False,,,,0.4177,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000007--a54a7cfb87/13,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000007--a54a7cfb87/14,5,2,True,False,False,False,False,False,False,,,,0.399,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000007--a54a7cfb87/3,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000007--a54a7cfb87/15,5,5,True,False,True,False,False,False,False,0.5781,,,0.4419,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000007--a54a7cfb87/2,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000007--a54a7cfb87/7,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000008--796794840f/0,5,6,False,False,True,False,False,False,False,0.6572,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000008--796794840f/1,5,23,False,False,True,False,False,False,True,0.8611,,0.4839,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000008--796794840f/2,5,20,False,False,True,False,False,False,False,0.8314,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000008--84c6baca80/0,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000008--796794840f/4,5,4,False,False,True,False,False,False,False,0.7747,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000007--a54a7cfb87/9,5,2,True,False,False,False,False,False,False,,,,0.3634,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000008--796794840f/6,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000008--e8d04b6e91/1,5,3,False,False,True,False,False,False,False,0.6989,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000008--aeaa9f13d2/0,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000009--601169b894/1,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000008--aeaa9f13d2/3,5,10,False,False,True,False,True,False,False,0.9134,,,,0.7924,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000009--601169b894/0,5,9,True,False,True,False,False,False,False,0.8654,,,0.49,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000009--60301b380e/1,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000009--60301b380e/2,5,2,False,False,False,True,True,False,False,,0.5503,,,0.4141,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000009--60301b380e/0,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000009--a0348fcf09/0,5,7,False,False,True,False,True,False,False,0.7123,,,,0.5646,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000009--a0348fcf09/1,5,5,False,False,True,False,False,False,False,0.739,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000009--9b0ed84a6b/1,5,7,True,False,True,False,False,False,False,0.6259,,,0.4834,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000009--a0348fcf09/5,5,31,False,False,True,True,False,False,True,0.8195,0.4571,0.7193,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--505c644d4b/0,5,9,True,False,True,False,False,False,False,0.7686,,,0.4205,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000009--a0348fcf09/10,5,3,False,False,True,False,False,False,False,0.8171,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000009--a0348fcf09/9,5,2,False,False,True,False,False,False,True,0.6094,,0.6454,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--505c644d4b/3,5,13,False,True,True,False,False,False,False,0.8734,,,,,0.638,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--505c644d4b/4,5,11,False,False,True,False,False,False,False,0.7642,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--505c644d4b/5,5,33,True,False,True,False,False,False,True,0.8622,,0.4378,0.786,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/0000000a--505c644d4b/2,5,7,True,False,True,False,True,False,False,0.5625,,,0.384,0.3542,,
